,class,pred
348,BYDra,BYDra
349,BYDra,RSCVN
350,BYDra,RSCVN
351,RSCVN,RSCVN
352,RSCVN,RSCVN
353,BYDra,RSCVN
354,RSCVN,BYDra
355,BYDra,RSCVN
356,BYDra,RSCVN
357,RSCVN,BYDra
358,BYDra,BYDra
359,RSCVN,BYDra
360,RSCVN,RSCVN
361,BYDra,RSCVN
362,BYDra,RSCVN
363,RSCVN,RSCVN
364,RSCVN,RSCVN
365,RSCVN,BYDra
366,RSCVN,BYDra
367,BYDra,RSCVN
368,RSCVN,RSCVN
