,class,pred
205,RSCVN,BYDra
206,BYDra,BYDra
207,BYDra,BYDra
208,RSCVN,RSCVN
209,BYDra,BYDra
210,RSCVN,RSCVN
211,RSCVN,RSCVN
212,BYDra,RSCVN
213,RSCVN,BYDra
214,BYDra,BYDra
215,BYDra,BYDra
216,RSCVN,BYDra
217,RSCVN,RSCVN
218,RSCVN,RSCVN
219,BYDra,BYDra
220,RSCVN,RSCVN
221,RSCVN,RSCVN
222,RSCVN,BYDra
223,RSCVN,RSCVN
224,RSCVN,RSCVN
225,BYDra,BYDra
226,BYDra,BYDra
227,RSCVN,RSCVN
228,RSCVN,BYDra
229,RSCVN,BYDra
230,BYDra,RSCVN
231,RSCVN,BYDra
232,RSCVN,RSCVN
233,RSCVN,BYDra
234,RSCVN,BYDra
235,RSCVN,BYDra
236,BYDra,RSCVN
237,BYDra,BYDra
238,RSCVN,RSCVN
239,RSCVN,BYDra
240,BYDra,BYDra
241,BYDra,BYDra
242,BYDra,BYDra
243,RSCVN,RSCVN
244,BYDra,BYDra
245,RSCVN,BYDra
246,BYDra,BYDra
247,BYDra,BYDra
248,BYDra,BYDra
249,BYDra,RSCVN
250,RSCVN,RSCVN
251,RSCVN,RSCVN
252,RSCVN,RSCVN
253,BYDra,RSCVN
254,BYDra,RSCVN
255,RSCVN,RSCVN
256,BYDra,RSCVN
257,BYDra,BYDra
258,RSCVN,BYDra
259,RSCVN,RSCVN
260,RSCVN,RSCVN
261,RSCVN,RSCVN
262,BYDra,BYDra
263,BYDra,RSCVN
264,BYDra,BYDra
265,BYDra,RSCVN
266,RSCVN,RSCVN
267,RSCVN,RSCVN
268,BYDra,BYDra
269,RSCVN,RSCVN
270,RSCVN,RSCVN
271,BYDra,RSCVN
272,RSCVN,RSCVN
273,RSCVN,RSCVN
274,RSCVN,BYDra
275,RSCVN,RSCVN
276,BYDra,BYDra
277,BYDra,RSCVN
278,BYDra,RSCVN
279,RSCVN,BYDra
280,BYDra,RSCVN
281,BYDra,RSCVN
282,BYDra,BYDra
283,RSCVN,BYDra
284,BYDra,BYDra
285,BYDra,BYDra
286,RSCVN,RSCVN
287,BYDra,RSCVN
288,RSCVN,RSCVN
289,RSCVN,BYDra
290,BYDra,RSCVN
291,RSCVN,BYDra
292,BYDra,RSCVN
293,RSCVN,BYDra
294,BYDra,BYDra
295,BYDra,BYDra
296,BYDra,BYDra
297,RSCVN,RSCVN
298,RSCVN,BYDra
299,RSCVN,BYDra
300,RSCVN,RSCVN
301,RSCVN,RSCVN
302,RSCVN,RSCVN
303,RSCVN,BYDra
304,RSCVN,BYDra
305,RSCVN,RSCVN
306,BYDra,BYDra
307,BYDra,RSCVN
308,RSCVN,BYDra
309,BYDra,RSCVN
310,BYDra,BYDra
311,RSCVN,RSCVN
312,RSCVN,RSCVN
313,RSCVN,RSCVN
314,RSCVN,BYDra
315,BYDra,BYDra
316,RSCVN,BYDra
317,BYDra,BYDra
318,BYDra,RSCVN
319,RSCVN,BYDra
320,RSCVN,RSCVN
321,RSCVN,RSCVN
322,BYDra,BYDra
323,BYDra,RSCVN
324,BYDra,BYDra
325,RSCVN,BYDra
326,BYDra,RSCVN
327,BYDra,BYDra
328,RSCVN,RSCVN
329,BYDra,RSCVN
330,RSCVN,RSCVN
331,RSCVN,RSCVN
332,RSCVN,RSCVN
333,BYDra,BYDra
334,BYDra,BYDra
335,BYDra,RSCVN
336,BYDra,BYDra
337,RSCVN,RSCVN
338,BYDra,RSCVN
339,RSCVN,RSCVN
340,BYDra,BYDra
341,RSCVN,BYDra
342,BYDra,BYDra
343,RSCVN,BYDra
344,BYDra,RSCVN
345,BYDra,BYDra
346,RSCVN,BYDra
347,RSCVN,BYDra
348,RSCVN,RSCVN
349,BYDra,RSCVN
350,BYDra,BYDra
351,RSCVN,BYDra
352,RSCVN,BYDra
353,RSCVN,RSCVN
354,RSCVN,BYDra
355,BYDra,RSCVN
356,BYDra,BYDra
357,BYDra,RSCVN
358,BYDra,BYDra
359,BYDra,BYDra
360,BYDra,BYDra
361,BYDra,RSCVN
362,RSCVN,RSCVN
363,BYDra,RSCVN
364,RSCVN,RSCVN
365,BYDra,BYDra
366,BYDra,BYDra
367,BYDra,RSCVN
368,BYDra,BYDra
