,EA_conf,NotEA_conf
122,inf,inf
123,0.0627447501521638,0.08108515646891883
124,0.0627447501521638,0.08108515646891883
125,0.0627447501521638,0.08108515646891883
126,inf,0.08108515646891883
127,inf,0.08108515646891883
128,0.0627447501521638,0.08108515646891883
129,inf,0.08108515646891883
130,inf,0.08108515646891883
131,inf,0.08108515646891883
132,0.0627447501521638,0.08108515646891883
133,inf,inf
134,inf,0.08108515646891883
135,0.0627447501521638,0.08108515646891883
136,inf,0.08108515646891883
137,inf,0.08108515646891883
138,0.0627447501521638,0.08108515646891883
139,inf,inf
140,inf,0.08108515646891883
141,inf,inf
142,inf,0.08108515646891883
143,inf,0.08108515646891883
144,inf,0.08108515646891883
145,inf,0.08108515646891883
146,inf,0.08108515646891883
147,inf,inf
148,0.0627447501521638,0.08108515646891883
149,inf,0.08108515646891883
150,inf,inf
151,0.0627447501521638,0.08108515646891883
152,inf,inf
153,inf,inf
154,inf,inf
155,inf,0.08108515646891883
156,0.0627447501521638,0.08108515646891883
157,inf,0.08108515646891883
158,inf,0.08108515646891883
159,inf,0.08108515646891883
160,inf,0.08108515646891883
161,0.0627447501521638,0.08108515646891883
162,inf,0.08108515646891883
163,inf,0.08108515646891883
164,inf,inf
165,inf,0.08108515646891883
166,inf,0.08108515646891883
167,0.0627447501521638,0.08108515646891883
168,0.0627447501521638,0.08108515646891883
169,inf,inf
170,inf,inf
171,0.0627447501521638,0.08108515646891883
172,inf,0.08108515646891883
173,inf,0.08108515646891883
174,inf,0.08108515646891883
175,inf,0.08108515646891883
176,inf,0.08108515646891883
177,inf,0.08108515646891883
178,inf,0.08108515646891883
179,inf,0.08108515646891883
180,0.0627447501521638,0.08108515646891883
181,inf,0.08108515646891883
182,inf,0.08108515646891883
183,inf,inf
184,inf,inf
185,inf,0.08108515646891883
186,0.0627447501521638,0.08108515646891883
187,inf,inf
188,inf,0.08108515646891883
189,inf,inf
190,inf,inf
191,inf,inf
192,inf,0.08108515646891883
193,0.0627447501521638,0.08108515646891883
194,inf,inf
195,inf,inf
196,0.0627447501521638,0.08108515646891883
197,inf,0.08108515646891883
198,0.0627447501521638,0.08108515646891883
199,inf,inf
200,inf,inf
201,inf,inf
202,inf,0.08108515646891883
203,inf,inf
204,inf,inf
205,inf,0.08108515646891883
206,inf,0.08108515646891883
207,inf,0.08108515646891883
208,0.0627447501521638,0.08108515646891883
209,0.0627447501521638,0.08108515646891883
210,inf,0.08108515646891883
211,inf,0.08108515646891883
212,inf,0.08108515646891883
213,inf,0.08108515646891883
214,inf,0.08108515646891883
215,inf,0.08108515646891883
216,0.0627447501521638,0.08108515646891883
217,0.0627447501521638,0.08108515646891883
218,inf,inf
219,inf,0.08108515646891883
220,0.0627447501521638,0.08108515646891883
221,inf,0.08108515646891883
222,inf,0.08108515646891883
223,inf,inf
224,inf,0.08108515646891883
225,0.0627447501521638,0.08108515646891883
226,inf,0.08108515646891883
227,0.0627447501521638,0.08108515646891883
228,0.0627447501521638,0.08108515646891883
229,inf,inf
230,inf,inf
231,inf,0.08108515646891883
232,inf,0.08108515646891883
233,inf,inf
234,inf,0.08108515646891883
235,0.0627447501521638,0.08108515646891883
236,0.0627447501521638,0.08108515646891883
237,inf,0.08108515646891883
238,inf,0.08108515646891883
239,inf,inf
240,inf,inf
241,inf,0.08108515646891883
242,0.0627447501521638,0.08108515646891883
243,inf,0.08108515646891883
244,inf,0.08108515646891883
245,inf,0.08108515646891883
246,inf,0.08108515646891883
247,inf,inf
248,inf,0.08108515646891883
249,inf,0.08108515646891883
250,0.0627447501521638,0.08108515646891883
251,inf,0.08108515646891883
252,inf,inf
253,inf,0.08108515646891883
254,inf,0.08108515646891883
255,0.0627447501521638,0.08108515646891883
256,inf,0.08108515646891883
257,inf,inf
258,inf,0.08108515646891883
259,inf,inf
260,inf,0.08108515646891883
261,inf,inf
262,inf,0.08108515646891883
263,inf,0.08108515646891883
264,inf,0.08108515646891883
265,inf,0.08108515646891883
266,inf,inf
267,0.0627447501521638,0.08108515646891883
268,inf,0.08108515646891883
269,0.0627447501521638,0.08108515646891883
270,inf,inf
